MdALE symbolic regression,MdALE Eleveld,MdALE neural network
0.41887769132725095,0.6798138273095411,0.28877057621683333
0.0966605059859981,0.3328633917168837,0.10303923484990893
0.5453211290943428,0.8584666882991087,0.4064184574555576
0.21023299313256694,0.4004798018208048,0.18890760617154026
0.22183376330196744,0.5653020472280638,0.2738123789202699
0.46266351844773485,0.7708684381411152,0.35987687942731594
0.12936208338857258,0.3378531454102078,0.13036846306231822
0.11439602106235222,0.3266292727025677,0.15542841607450902
0.1033989341914391,0.4016613424317904,0.08148940314277509
0.1730031653178237,0.37020422787670604,0.15088435341745698
0.21900499581366678,0.5800148941185758,0.19960822239570156
0.15072335584450736,0.3220591038865702,0.16296971827853549
0.13297888828593787,0.4437369605696836,0.18685141565501218
0.27779423787429136,0.48078130591864066,0.25578213939638067
0.10717401803403175,0.24142096069001243,0.1260877698210357
0.4281118843190714,0.1444050268740658,0.39129410506866635
0.18716096333064497,0.1422854328385505,0.21554293132803354
0.2086911946023194,0.5132655088610809,0.307753364107249
0.24346094709628055,0.5321284388950415,0.22224700229495487
0.07275701318103973,0.3205313044468692,0.1316204758253976
0.1577025512485587,0.5037916154769174,0.1628254190379269
0.2649359793818607,0.540564536835122,0.18135735942720727
0.08878049675708198,0.40056936185495706,0.1362364002978232
0.30543090325582006,0.6773616244290525,0.3016267037626136
0.17914912135536254,0.3705165223791031,0.13225470145782064
0.10223049156123651,0.2205989038890688,0.1383240200078127
0.1690135070641352,0.36987584597295875,0.18109514699880785
0.20714436610191767,0.3530179358368901,0.23392334861831976
0.1882152576005296,0.2780267637425076,0.1762280818169663
0.09189298286552007,0.46147561369768964,0.21161821625506297
0.12773215285644182,0.3888162928252078,0.05762584621014928
0.10562242730192291,0.14893413401664524,0.22072224393560066
0.17017497145539573,0.45188796957105976,0.20244370128254363
0.45440130028932524,0.573251736493905,0.28214164625364274
0.5636737604887813,0.8753498395985286,0.3882583901551743
0.1641044009697625,0.4760879793124318,0.0951342288173877
0.11119512067279219,0.3901621501468995,0.0690021895044376
0.4230669770928049,0.6627677000485745,0.2773717062864142
0.27811943575109405,0.5739548777561468,0.10549623588706153
0.31614792322377816,0.37998913975992177,0.5200871128941473
0.12544427330952737,0.2960975567249268,0.07308586939549847
0.17747349218582276,0.5316549812595203,0.11550541694662375
0.11772884222876591,0.14876895699516215,0.192383046583667
