Epoch,MdALE loss per epoch,Logarithmic MdALE loss per epoch
1,0.43277552802021735,-0.8375360964398678
2,0.3658488683879491,-1.0055349587607518
3,0.3443627118988452,-1.0660597820379898
4,0.3557834908904582,-1.0334329047975208
5,0.37694854343311807,-0.9756465904170011
6,0.3854837739852796,-0.9532561776939622
7,0.386000956042835,-0.9519154327254641
8,0.39091671385759874,-0.9392607497230371
9,0.39422831143081827,-0.9308250668758867
10,0.3945574391412862,-0.9299905494436685
11,0.38282143197606827,-0.9601866335722763
12,0.3868892552181139,-0.949616789131674
13,0.3866440393825565,-0.9502508041003465
14,0.38413807519763044,-0.9567532201973452
15,0.3824833597839746,-0.9610701304946119
16,0.3784937673364879,-0.9715556729866112
17,0.3734384744846335,-0.9850020149270113
18,0.37546569090715953,-0.9795881810411466
19,0.37463428858020836,-0.9818049593111206
20,0.3687941291858194,-0.9975167061199504
21,0.36475771813536884,-1.0085219317335619
22,0.36682250252613213,-1.00287719226418
23,0.37242584616473356,-0.9877173316784262
24,0.36472691395920703,-1.0086063863603623
25,0.3668668258629891,-1.002756369089586
26,0.3648139125731648,-1.0083678839730903
27,0.3652813268877804,-1.0070874636848544
28,0.36190259108133793,-1.0163801887770096
29,0.35902028781778306,-1.0243763800633519
30,0.36396338030240644,-1.0107020199710919
31,0.3567850424824093,-1.0306218004487007
32,0.3651345543884948,-1.0074893511712124
33,0.3610513274432327,-1.0187351494728638
34,0.35030648929349695,-1.0489468239902553
35,0.3491983596428824,-1.0521151524994228
36,0.34291896834756336,-1.0702611036108345
37,0.33961554359966234,-1.0799410552753468
38,0.34235526319813603,-1.0719062997983602
39,0.34765336703496447,-1.0565493673553916
40,0.33657839497195413,-1.088924185346187
41,0.3395269827051838,-1.0802018573648946
42,0.337152837355604,-1.0872189281299909
43,0.3328120826366859,-1.1001772646944732
44,0.3332922641263785,-1.0987355038796565
45,0.3314893506955135,-1.1041595944709786
46,0.34005762658883193,-1.078640185766579
47,0.32928775985852593,-1.1108232604742911
48,0.33743679008214483,-1.0863770748557577
49,0.33221915593166645,-1.1019604196133421
50,0.33386383333833297,-1.0970220537471727
51,0.33060853210549757,-1.1068202859866185
52,0.33405168400761226,-1.0964595554390668
53,0.32988655278468226,-1.1090064630676664
54,0.33299851397487806,-1.0996172515495541
55,0.3334747463081729,-1.0981881397074802
56,0.3289935623506079,-1.111717095731588
57,0.331244293499149,-1.1048991290024748
58,0.32656741693839936,-1.1191188678487851
59,0.32661891517443464,-1.1189611847081247
60,0.32168344102770985,-1.1341873193982617
61,0.32268061697352984,-1.1310922468861537
62,0.3278982932096714,-1.1150518003610883
63,0.32839510276928097,-1.1135378139106669
64,0.3288176694341098,-1.1122518780891737
65,0.3275410666660732,-1.1161418373678276
66,0.32642733452933775,-1.1195479139043487
67,0.3176077268168576,-1.1469382211366528
68,0.31989102739078346,-1.1397748805888765
69,0.31809227529210404,-1.1454137644197153
70,0.3179997587170015,-1.1457046549538157
71,0.3158733798778109,-1.1524138422847607
72,0.31251642686359143,-1.1630982452237302
73,0.3135396510269583,-1.1598294483520089
74,0.32064912339833235,-1.1374078272181272
75,0.32062370733156526,-1.1374870947796467
76,0.31991538007415754,-1.1396987554263218
77,0.3173155319659269,-1.1478586311783914
78,0.3178806477357298,-1.1460792882384903
