Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
0.104,0.07715239,0.08851448,0.08569959
0.064,0.069974825,0.0730775,0.071232766
5.98,4.943091,6.093505,7.733208
3.16,2.5748544,4.6196804,4.8609576
2.0,1.581781,2.784014,2.5872214
1.37,1.379714,1.8151277,1.8996873
0.536,0.9568715,0.72851413,1.2253306
0.356,0.7678041,0.58059406,0.995884
0.292,0.5031651,0.4244591,0.6688935
0.206,0.1775031,0.19992939,0.24527057
4.89,7.352204,6.2934895,9.5697565
2.19,2.4605956,4.2118416,4.6745486
2.42,1.5169526,2.594452,2.507048
2.0,1.3226907,1.7195361,1.8406361
1.6,1.2016041,1.237023,1.570596
1.24,1.0477141,0.87088376,1.3472888
1.12,0.9152532,0.69519717,1.1826234
0.858,0.7334485,0.54911727,0.96075195
0.922,0.47954708,0.39735493,0.64591575
0.464,0.26996624,0.26330075,0.37728217
0.301,0.16873859,0.1847293,0.2416744
0.293,0.09503548,0.10955447,0.13595614
0.201,0.07585156,0.080389686,0.10449742
0.139,0.069272965,0.06691241,0.09178157
4.22,7.6526837,6.843445,10.1430235
1.99,1.8196045,3.4829915,3.4011705
2.17,1.4420815,2.1881835,2.1823065
0.811,1.1834664,1.1146787,1.5625942
0.742,1.0334829,0.824003,1.3586355
0.456,0.945072,0.718775,1.2469423
0.316,0.7582611,0.5716299,1.0126032
0.182,0.47701004,0.40514833,0.6536848
0.117,0.29037434,0.28523597,0.40781507
0.104,0.18017918,0.2000927,0.25683993
0.054,0.09612239,0.11309129,0.13361792
0.035,0.07860845,0.085539296,0.10443698
2.27,8.319152,7.3765154,9.975515
1.34,2.78175,4.8763876,4.744609
1.02,1.6165018,2.6276681,2.3181581
0.938,1.4722351,1.9158132,1.9107252
0.795,1.3376195,1.3531955,1.6561842
0.712,1.1672535,0.93392247,1.4398626
0.666,0.7841154,0.5606342,1.0098685
0.357,0.5151889,0.41222295,0.6962795
0.278,0.29225504,0.27819192,0.4194451
0.245,0.18903214,0.20294927,0.28085628
0.172,0.10574124,0.123321354,0.15618847
0.091,0.08383666,0.091744974,0.11714883
0.105,0.0762731,0.07680915,0.10154759
0.07,0.07213859,0.06786151,0.092605144
2.78,9.11056,9.603435,9.526706
1.71,2.567821,5.450925,4.18334
1.47,1.4368801,2.752241,1.8838593
1.01,1.2429025,1.5701897,1.2378491
0.959,1.129633,1.0406383,1.0215211
0.691,0.98616135,0.7199403,0.8826352
0.579,0.90173215,0.62622195,0.8203092
0.484,0.6924453,0.49384192,0.6700978
0.296,0.45417988,0.37262294,0.4856553
0.278,0.256449,0.25428292,0.3104514
0.223,0.16034146,0.18126959,0.20958398
0.135,0.08990244,0.10710262,0.11661495
0.13,0.07155156,0.07642776,0.08313861
0.089,0.0654005,0.06206505,0.06914633
4.56,11.583953,7.5610633,10.54586
2.2,4.2760053,5.5381594,5.520991
1.73,1.5537987,3.090617,2.118178
1.11,1.2292268,1.8540765,1.3301476
0.881,1.1027057,1.2201184,1.0909463
0.703,0.95504415,0.7822109,0.92654866
0.626,0.82938564,0.5965794,0.80990744
0.571,0.65826386,0.4608997,0.6532831
0.311,0.4226322,0.33128557,0.43362287
0.073,0.08046824,0.08673858,0.08985603
0.076,0.065849654,0.06306273,0.07014478
2.45,8.855602,11.403305,11.886498
2.02,2.595876,5.9971333,5.661331
1.74,1.4858588,2.8072572,2.6368473
1.56,1.3001621,1.5594982,1.6712247
1.08,1.1953522,1.0571253,1.3261634
0.904,1.0616992,0.7812898,1.1191876
0.769,0.9444266,0.6769537,1.002223
0.633,0.7792157,0.58435893,0.8525621
0.404,0.53719974,0.45724905,0.62713015
0.298,0.3208989,0.325444,0.40942472
0.238,0.20561703,0.23975609,0.2814574
0.144,0.11026896,0.14662223,0.16025235
0.115,0.08114572,0.1048846,0.115102395
0.096,0.070667446,0.08452733,0.095897585
0.087,0.068637736,0.08009035,0.09190822
0.072,0.065514475,0.07319042,0.08570736
0.068,0.061954543,0.06577514,0.07880071
0.058,0.058938462,0.060169693,0.07322769
2.89,8.147632,7.570559,8.615559
1.97,2.7045183,4.912076,4.065653
1.58,1.6340007,2.9019115,2.1443033
1.16,1.2904645,1.2906675,1.3817418
0.612,1.1271966,0.8847561,1.2133908
0.72,0.9864589,0.7008316,1.0876427
0.546,0.79276,0.55600595,0.9130702
0.394,0.54255116,0.42078322,0.6736157
0.313,0.31614512,0.2913975,0.43345913
0.273,0.18916732,0.20297122,0.27885988
0.198,0.1036785,0.123169586,0.15255603
0.071,0.077758476,0.08505937,0.10190138
4.2,3.606597,6.9548497,6.8063045
2.51,2.6534758,5.7828083,5.501996
1.61,1.5514187,2.9323318,2.6658745
1.52,1.3523599,1.6907109,1.6427119
1.06,1.2368387,1.1374137,1.2478485
0.74,1.0901574,0.8039673,1.0182196
0.549,0.9624886,0.6735653,0.9072084
0.401,0.78452456,0.56806046,0.7791129
0.342,0.52882844,0.43807754,0.5879121
0.456,0.30754575,0.30790973,0.39658198
0.33,0.1942063,0.22525264,0.27887532
0.141,0.105178535,0.1380297,0.16052489
0.033,0.07968954,0.10020061,0.11308337
9.96,7.6863756,7.3312507,8.255081
2.09,2.4593542,4.653869,3.477957
1.48,1.3776194,2.0930207,1.4197134
1.000001,1.2997124,1.6737734,1.2598174
0.909,1.176361,1.1530381,1.0906904
0.773,1.0196661,0.7852364,0.94331115
0.544,0.8855791,0.621832,0.828506
0.441,0.7030708,0.49247992,0.6719006
0.28,0.45205718,0.35746154,0.45058453
0.248,0.25009465,0.23640932,0.26360813
0.194,0.15563135,0.16547036,0.17020005
0.226,0.09175609,0.10041951,0.10032169
0.115,0.073808014,0.07189288,0.076240435
0.062,0.06512816,0.051761355,0.060045138
2.62,1.815767,3.095276,3.5982363
2.73,3.3022408,2.8864398,4.676223
2.42,3.4796767,3.0576296,4.9896293
3.07,3.6195877,3.1977751,5.188446
2.39,3.830656,3.4213233,5.48069
2.16,3.071942,2.802132,4.3863683
2.13,2.9638367,2.7476914,4.2140083
2.0,2.8958058,2.7151906,4.1046176
0.947,1.5930386,1.5559628,2.270626
0.822,1.2395161,1.2099025,1.7203512
0.883,0.8531307,0.88157964,1.1423886
0.525,0.6467251,0.6687447,0.8390519
2.2,2.9439476,2.617967,3.3852131
1.77,2.964543,2.4754338,3.381701
2.73,3.0074434,2.5710042,3.4206953
2.7,3.0572727,2.6490552,3.4778614
3.07,3.109808,2.7120507,3.541464
2.89,3.163082,2.765659,3.6063268
3.16,3.2161818,2.8131447,3.6702018
2.34,3.2686899,2.856387,3.7321496
2.49,1.9142119,1.7125906,2.2292738
1.95,1.615692,1.3549671,1.8557496
1.68,1.0630773,0.933862,1.2147652
1.44,0.79871225,0.70879,0.91179365
0.89,0.5589954,0.4199999,0.6130459
0.624,0.5256363,0.35927755,0.5510866
2.13,3.5550597,3.146865,4.126348
1.65,3.64495,3.0603597,4.200648
2.87,3.720609,3.114962,4.271461
1.77,3.8409197,3.2507756,4.388685
1.66,2.9831362,2.5406668,3.3922682
1.48,2.8286397,2.4586875,3.2115772
1.27,2.7795842,2.429015,3.161966
0.801,1.8678466,1.5950998,2.1309674
0.65,1.4209905,1.1361618,1.5723712
0.493,1.0544478,0.84773064,1.1436049
0.377,0.8754384,0.67921543,0.93696713
0.341,0.78452915,0.57548594,0.8279509
0.276,0.70518875,0.4625733,0.71628845
0.201,0.6721085,0.40813562,0.6550738
3.43,1.3835772,1.3591479,1.638997
4.84,2.63256,2.209216,2.9946795
2.44,2.8887136,2.501043,3.2979975
2.1,3.0414858,2.6636868,3.47739
2.45,3.1446762,2.7769814,3.599041
1.66,1.7657347,1.756392,2.1034193
1.09,1.2146114,1.1622753,1.4148641
0.351,0.76364416,0.7826462,0.89238226
0.437,0.5463573,0.56762594,0.6373101
0.38,0.4398661,0.4410036,0.50880474
0.286,0.35699198,0.31624344,0.40062958
0.29,0.32859227,0.26174912,0.355552
2.9,3.1638567,2.966353,4.6280036
3.29,3.149072,2.7532182,4.533795
2.86,3.1638856,2.8502867,4.521773
1.66,3.2013507,2.935872,4.5592813
2.15,3.249037,3.0073075,4.617833
1.77,3.3010192,3.0695996,4.6844406
1.23,1.85106,1.8731261,2.716349
1.02,1.2968563,1.2706904,1.8231192
0.62,0.83984685,0.89160156,1.1421499
0.449,0.61724275,0.670552,0.817933
0.466,0.50667703,0.53634644,0.65781873
0.311,0.41841128,0.39814743,0.52421194
0.292,0.38648733,0.33398965,0.46682954
4.29,3.6093993,3.0612235,3.626916
3.35,3.686401,2.9405763,3.6852732
4.34,3.7519534,2.9765484,3.7466216
3.4,3.8581247,3.092837,3.8498724
2.84,2.98247,2.409443,2.9777281
2.65,1.3836975,1.1564097,1.4036664
1.74,0.98217934,0.8301726,1.0009366
1.33,0.70447385,0.6216275,0.72679365
0.885,0.52591366,0.4652555,0.5497862
0.689,0.43963552,0.3736105,0.46096736
0.413,0.3726172,0.28150317,0.38127056
0.277,0.34842145,0.2377602,0.34103745
3.63,3.467737,2.9733176,3.6940577
3.29,3.5743978,2.9172723,3.7963295
3.23,3.6628504,2.9771798,3.8868577
2.42,3.800591,3.1167579,4.0307646
1.3,1.5488275,1.3857867,1.6978014
0.721,0.7871511,0.7026543,0.86335814
0.636,0.50742733,0.46453312,0.56862736
0.49,0.41929814,0.3696875,0.4728033
0.344,0.3511479,0.27472204,0.3882095
0.28,0.32714233,0.23063357,0.3467147
3.01,3.5331628,3.0927193,3.9872158
2.61,3.6272833,3.0139055,4.0682282
3.05,3.7062218,3.0694833,4.144665
1.38,1.6495496,1.4692698,1.8614748
0.797,1.1132683,0.9609437,1.2293621
0.533,0.6784029,0.6334102,0.75220215
0.523,0.47171202,0.44920218,0.5332242
0.297,0.35539702,0.32180035,0.41029304
0.302,0.32493657,0.28151992,0.37641695
0.204,0.27036363,0.19060229,0.29921347
0.129,0.23182009,0.12603034,0.21153839
0.047,0.20021933,0.086764954,0.14885192
2.98,3.0168252,2.5771494,3.8197844
2.91,3.0178556,2.585392,3.7958775
3.63,3.040898,2.6732104,3.7732208
3.53,3.081148,2.74594,3.8061647
3.29,3.1289837,2.8053324,3.8608582
1.77,1.6953605,1.5728917,2.1270142
0.96,0.9866359,0.9004204,1.1646767
0.635,0.7355586,0.7024826,0.85578054
0.738,0.5284065,0.5115354,0.61512303
0.437,0.42722043,0.39772043,0.50203174
0.329,0.34881043,0.2840306,0.4087314
0.387,0.3220527,0.23385495,0.36486733
4.21,3.4627626,2.977787,3.9260204
2.25,3.5730932,2.9473155,4.0227027
3.44,3.6646001,3.0172682,4.1086154
2.18,3.6969128,3.0487227,4.139307
1.12,1.6279824,1.4701462,1.8226738
0.532,0.92896247,0.82463443,1.0042874
0.634,0.68281704,0.6260931,0.73988175
0.423,0.48104706,0.43984067,0.53147584
0.337,0.36342895,0.30787298,0.4116625
2.02,2.9892044,2.5162137,3.0453556
1.78,3.0315907,2.4993763,3.1004615
1.89,3.1029415,2.6202016,3.1955693
2.01,3.1680443,2.716998,3.2766328
1.24,1.772798,1.7077745,1.9041682
0.801,1.213674,1.1238073,1.2990763
0.884,0.756665,0.7613098,0.83215266
0.497,0.536867,0.55725694,0.5978978
0.372,0.42939696,0.43706012,0.4769935
0.19,0.3461627,0.31781575,0.37310755
0.126,0.3179635,0.26447582,0.33005768
0.113,0.26818112,0.17388955,0.24164435
2.82,3.280911,2.9107378,3.41725
2.63,3.4329336,3.0336702,3.606618
2.82,3.5538428,3.143826,3.7394314
2.47,3.7363532,3.3242266,3.941302
1.6,1.5285237,1.4284459,1.6754053
1.42,1.0636786,0.9601159,1.1686151
0.949,0.6858695,0.6797818,0.763997
0.818,0.5051881,0.51499194,0.56442267
0.124,0.41707143,0.41423765,0.4618641
0.297,0.34830284,0.30900657,0.37097186
2.48,2.928789,2.5755541,3.2453628
3.12,2.952477,2.4960494,3.2681627
2.59,2.9994824,2.5983875,3.3236785
2.53,3.1039913,2.7492595,3.4506605
2.4,3.157228,2.8065677,3.5142741
2.29,3.2100484,2.8572493,3.5761154
2.59,3.262172,2.9033198,3.6357646
1.37,1.9250137,1.7368011,2.1632626
1.62,1.3978559,1.1966934,1.5594109
1.28,1.0102651,0.91421497,1.130277
0.789,0.7643824,0.6971188,0.85201323
0.705,0.66296434,0.5829455,0.73020023
0.416,0.5801136,0.45913377,0.6141235
0.307,0.546573,0.3944898,0.5516645
0.214,0.4695796,0.2611023,0.38825256
0.158,0.4062101,0.1783925,0.27497166
2.93,3.0066385,2.617899,3.0546973
2.58,2.9982476,2.4059908,3.0255504
1.87,3.0182211,2.4810822,3.0433896
0.474,1.5596544,1.3459303,1.5955707
0.473,1.0212139,0.82240033,1.0281965
2.3,3.8563297,3.5343425,4.4483
1.97,3.8733819,3.535327,4.4724026
2.15,3.9508452,3.5978994,4.5849314
2.14,4.096392,3.7957153,4.795024
1.95,3.202162,2.9842715,3.8134882
1.88,3.0265121,2.9105127,3.6060421
1.76,2.9647484,2.8886697,3.5216813
2.12,2.9576313,2.8923466,3.4998164
2.25,1.9589813,1.9506524,2.3549702
0.957,1.4895368,1.4399172,1.7533046
0.877,1.0949131,1.1215551,1.2528608
0.726,0.8962221,0.92515326,0.9831156
0.651,0.7925259,0.7979354,0.83249336
0.375,0.6998847,0.65157753,0.68684125
0.499,0.6517868,0.5598103,0.6073075
2.83,3.5484645,3.2401266,3.8729563
3.1,3.6384919,3.1328487,3.9624
2.93,3.7140062,3.1835008,4.043861
3.19,3.8335521,3.320347,4.1751304
3.07,2.9844663,2.580547,3.2482293
2.35,2.822367,2.5117874,3.082266
2.39,2.7700088,2.492014,3.031913
2.52,2.768331,2.4949822,3.033513
1.41,1.6608039,1.5000535,1.8191422
0.983,1.222036,1.0487803,1.3288398
1.06,0.8658032,0.78725785,0.94193035
0.864,0.694648,0.6326203,0.7503775
0.663,0.6097553,0.53586036,0.64905965
0.615,0.53931224,0.42856574,0.5501753
0.403,0.5096301,0.3704781,0.49521333
0.272,0.43855765,0.24564342,0.34882545
0.199,0.37967217,0.16751292,0.24712092
2.37,3.036718,2.798558,3.1940866
2.79,3.0253923,2.5944304,3.1908877
2.97,3.0421698,2.6840665,3.226276
2.7,3.0792656,2.7615266,3.2773185
2.72,3.1253273,2.826056,3.3343384
2.38,3.1750617,2.8822057,3.39282
0.989,1.7310791,1.5936898,1.8875598
0.867,1.0960772,0.9849847,1.2082883
0.501,0.7310587,0.7154656,0.8194458
0.456,0.55659586,0.5549042,0.62527984
0.312,0.48393303,0.47226515,0.53934276
0.286,0.4072794,0.35771343,0.43596408
2.34,3.1910727,2.9158084,3.2696984
3.06,3.2080631,2.8551588,3.3461688
2.66,3.2646248,3.0107791,3.4962902
2.39,3.3026612,3.0857058,3.564413
3.18,3.3753383,3.1982725,3.6687453
3.06,3.4121716,3.246813,3.7148821
2.62,3.4854136,3.3338523,3.7997131
2.19,3.550186,3.4041142,3.8701875
1.61,2.4838848,2.4088926,2.814201
1.26,1.9121205,1.7998633,2.1847937
1.14,1.3296072,1.3416865,1.510424
0.798,1.1851364,1.1997486,1.3194261
0.829,1.0561783,1.0485442,1.1323283
0.495,0.938352,0.8698145,0.93931925
1.01,0.8819268,0.7661443,0.8420567
4.4,4.192223,4.0253696,4.281335
2.48,4.30775,3.8962727,4.4293556
4.06,4.4050226,3.9683335,4.574601
2.71,4.5591707,4.157175,4.808568
2.86,3.5297432,3.2350235,3.845138
1.89,3.3653367,3.1839492,3.7002716
2.45,3.3115852,3.1763895,3.6445122
2.67,3.3109596,3.191199,3.6367655
1.23,1.9610996,1.9468758,2.291479
1.39,1.4353622,1.3888646,1.7129056
0.992,0.99480975,1.0553811,1.211666
0.761,0.77484506,0.85199386,0.92797446
0.803,0.66200674,0.7218686,0.7637407
0.477,0.5659025,0.57581437,0.6030505
0.328,0.52622634,0.498194,0.5302932
0.21,0.43954873,0.34157905,0.39237955
0.142,0.37081936,0.24318026,0.29900113
2.3,2.9422169,2.6591294,3.1655693
2.71,2.9612012,2.4976707,3.1796951
2.97,3.0025542,2.596508,3.2282338
3.13,3.0513334,2.6788208,3.2861295
3.39,3.1030376,2.745892,3.3467982
1.41,1.6559136,1.5048802,1.7932582
0.643,1.1328508,0.9778069,1.2220665
2.6,3.2084622,2.9012818,3.6176515
2.69,3.1954017,2.6785562,3.6225069
1.83,3.2095997,2.7415528,3.6592512
2.0,3.2480967,2.8252208,3.7239144
2.35,3.2968671,2.896861,3.7935338
1.2,1.8328197,1.7488549,2.2327213
1.1,1.2678148,1.1614317,1.5553236
0.69,0.80304974,0.8130453,1.0154917
0.522,0.57752883,0.6137009,0.7403832
0.418,0.46614012,0.49356872,0.59621745
2.3,3.629803,3.2083378,3.8036819
1.57,3.7005637,3.0618474,3.862277
2.88,3.761196,3.0944648,3.9223044
0.739,1.6295286,1.4286424,1.718526
0.406,0.6632188,0.6253006,0.7059663
0.37,0.46099976,0.4549479,0.5000831
3.29,3.176009,3.0380406,2.912721
3.46,3.224035,2.8877997,3.045555
3.92,3.2907739,3.0281718,3.2158122
3.97,3.3656633,3.1627142,3.3622181
4.48,3.4135377,3.2357857,3.4387789
4.87,3.4716861,3.3150551,3.5200305
2.34,1.8283808,1.7063729,2.0422413
2.18,1.2880653,1.2145603,1.5387179
1.4,0.83366257,0.8944482,1.0705969
0.822,0.60748136,0.69897455,0.792215
0.978,0.49276173,0.5752715,0.6245767
0.885,0.39896977,0.44043028,0.45662135
0.476,0.36455914,0.37326396,0.384159
2.79,3.3081107,3.3438013,3.7184157
2.01,3.3416762,3.2420251,3.797638
3.75,3.3955204,3.3962853,3.9942925
4.05,3.4509473,3.5187643,4.144441
2.14,1.8098869,1.7407683,2.3377273
1.64,1.2596841,1.2144169,1.715961
0.665,0.7028272,0.816666,1.0984278
0.833,0.50750345,0.6388664,0.8329046
0.718,0.41253984,0.534144,0.6822061
0.487,0.29416633,0.35891733,0.44628146
3.02,3.8870924,3.4387493,4.809131
2.6,3.9419053,3.3947277,4.8913407
3.83,4.050732,3.4685214,5.0627575
2.84,4.1504097,3.5896482,5.220873
2.78,3.2370875,2.8137982,4.1639013
2.47,3.0676606,2.7512677,3.9618945
1.29,1.7349622,1.6650449,2.4063666
2.01,1.2494906,1.1585603,1.7536707
1.14,0.845946,0.86444217,1.212017
0.867,0.64672714,0.6904393,0.9280833
0.578,0.5458961,0.581357,0.7742058
0.433,0.46200863,0.461428,0.63157845
2.33,3.9429607,3.660766,3.7806833
3.89,3.9619546,3.6630518,3.810297
2.61,4.0479836,3.731126,3.9514673
3.02,4.184928,3.9052682,4.1850524
1.98,3.2683356,3.0472775,3.4286778
1.35,1.7033111,1.6979272,2.0330262
1.31,1.1032375,1.1127458,1.4185215
0.727,0.79655826,0.88134825,1.0776719
0.567,0.5895422,0.6924327,0.80642986
0.46,0.47438747,0.5595107,0.6243024
0.214,0.3906233,0.42813483,0.45882347
0.241,0.3637757,0.37293434,0.39780873
2.61,3.2689185,3.2133205,3.1723533
3.11,3.284294,3.0327196,3.2824333
2.94,3.3233137,3.1671307,3.474337
3.49,3.3719127,3.277893,3.6188996
2.6,3.4245882,3.3689916,3.7334137
2.9,3.4786456,3.4471617,3.828661
2.11,1.9219208,1.8970671,2.39732
1.49,1.3602408,1.3236462,1.8232622
0.979,0.8857339,0.97968286,1.3131232
0.82,0.64739853,0.76664954,0.993695
0.896,0.478241,0.56654,0.69891
0.692,0.42472747,0.47979265,0.57641274
0.52,0.38750678,0.40483046,0.47820732
0.325,0.3195914,0.27473736,0.33970648
0.482,0.26798517,0.19816047,0.2635229
0.128,0.15803298,0.074730344,0.1239299
3.06,3.8031125,3.593474,3.9081001
1.73,3.916823,3.477775,4.0664873
4.12,4.012072,3.5408664,4.214488
2.71,4.161824,3.7099335,4.453247
2.48,3.278958,2.9170284,3.6523533
1.01,1.7091767,1.6453276,2.12748
0.991,3.8732927,3.71644,3.6431143
1.75,4.061451,3.6372576,3.91831
3.04,4.254218,3.876973,4.2317495
2.63,4.3886924,4.060106,4.44807
2.98,4.493932,4.202491,4.6074934
3.16,4.5840917,4.319215,4.7331457
1.21,2.5008614,2.3812096,2.85434
0.658,1.7439559,1.608045,2.1085932
1.03,1.1113231,1.1698449,1.442304
0.721,0.79790926,0.9064897,1.0526669
0.095,0.5122681,0.5627461,0.59586513
0.443,0.4666724,0.4751694,0.50093573
2.3,3.8845356,3.9148502,3.903078
2.61,4.01018,3.8426914,4.007028
2.65,4.115583,3.9329784,4.157448
2.4,4.236686,4.0724254,4.344947
2.22,3.3769174,3.2129457,3.5895832
2.43,3.2065132,3.1715057,3.5221348
2.71,3.1435618,3.1673865,3.5003288
2.94,3.1339197,3.1822364,3.5057108
1.8,1.9734411,1.9482723,2.3089702
1.2,1.1489477,1.2236991,1.4963957
0.787,0.8738021,0.98217624,1.1703455
0.526,0.7595325,0.85341746,1.0004238
0.433,0.6555668,0.70009005,0.80708104
0.456,0.6086565,0.6131211,0.7065328
0.328,0.5015331,0.43009397,0.5213322
0.28,0.41750848,0.3131345,0.40389815
1.85,3.2877312,3.221005,3.0638824
4.71,3.307189,3.0396657,3.1840065
2.72,3.3497553,3.1751492,3.3876045
3.06,3.4002247,3.28688,3.5414708
3.71,3.4539418,3.3788748,3.6631842
3.66,3.5086253,3.4578831,3.7639341
2.91,1.9144841,1.8604871,2.3202522
2.31,1.3490269,1.2904825,1.7808876
1.34,0.8709892,0.9533667,1.2974491
1.27,0.63072366,0.7447519,0.98845047
0.746,0.5078096,0.6111932,0.78904486
0.51,0.40659544,0.46419823,0.57175374
0.341,0.3696464,0.3911261,0.4703448
2.12,3.0690324,2.904852,2.6765072
1.45,3.175003,2.9153452,2.8909035
2.09,3.2891405,3.0866108,3.1305377
2.21,3.3752332,3.2181616,3.3062108
2.63,3.4468412,3.3225217,3.4409165
2.39,3.5106618,3.4094043,3.5491285
2.37,3.5700104,3.4847457,3.6399667
2.64,3.6265354,3.5521827,3.7191856
1.96,2.1349607,2.0735676,2.4479444
1.71,1.5628649,1.4961091,1.9359738
1.21,1.0774578,1.1527705,1.4678338
0.867,0.7794469,0.88513577,1.0909238
0.594,0.5931895,0.63906246,0.7482204
3.62,3.5922048,5.4595623,3.6874745
1.33,1.3412968,2.196418,1.3337038
0.676,0.8712886,0.8370178,0.7197924
0.338,0.5898776,0.5383558,0.49405324
0.204,0.3086897,0.31605732,0.27191126
0.11,0.10154016,0.12538071,0.098922834
0.322,0.42389807,0.44198304,0.37337297
0.632,0.4836656,0.54447645,0.43625638
0.561,0.5406344,0.61545116,0.4861905
0.606,0.62168944,0.6848626,0.551837
0.748,0.70415616,0.7592757,0.6207107
0.812,0.77897453,0.83680815,0.6870254
0.373,0.45190078,0.51446706,0.40823576
0.291,0.38854674,0.40725815,0.34216192
0.23,0.32987085,0.3359571,0.291049
0.184,0.24702246,0.26309693,0.22338492
0.16,0.16251366,0.18395679,0.1519029
0.111,0.098471075,0.111109994,0.092497505
0.086,0.077288754,0.07280843,0.065383114
0.051,0.071373686,0.05722511,0.054053113
0.027,0.05021492,0.018993866,0.022188153
2.63,3.88981,5.764839,3.9572337
1.17,1.3450266,2.2053506,1.3385342
0.567,0.8735903,0.84169775,0.72196406
0.246,0.5887498,0.53749377,0.49317643
0.151,0.30937284,0.31662965,0.27246246
0.127,0.10198563,0.12585981,0.09931889
0.379,0.42281127,0.4403001,0.37224823
0.433,0.48459372,0.5460328,0.43718007
0.506,0.54087484,0.6156732,0.48638532
0.62,0.62039256,0.683749,0.5507753
0.501,0.70407027,0.7591935,0.62063724
0.609,0.7787856,0.83659524,0.68685097
0.294,0.4557788,0.52043587,0.41223574
0.233,0.39047348,0.4103929,0.34405404
0.191,0.33038127,0.33643538,0.29146534
0.152,0.24702246,0.263097,0.22338492
0.121,0.16272008,0.18416454,0.15208304
0.1,0.09828319,0.11084726,0.09230103
0.051,0.077288754,0.07280845,0.065383114
0.044,0.071373686,0.057225127,0.054053113
0.026,0.05006897,0.018821314,0.022025136
5.05,5.6480956,6.856809,6.4742885
1.82,1.0761285,1.8980491,1.7847689
0.76,0.5720298,0.89225334,0.6977966
0.39,0.5061891,0.68403244,0.5373111
0.212,0.41596445,0.45719478,0.37486374
0.161,0.28055972,0.21533644,0.18251078
0.474,0.7222281,0.6014354,0.5249718
0.645,0.7717735,0.6765115,0.59750247
0.537,0.792089,0.71704936,0.631265
0.981,0.8223575,0.7684226,0.6675766
0.993,0.8682277,0.83396745,0.7152212
0.964,0.94268626,0.91404676,0.7758977
0.392,0.49828586,0.5221389,0.4280739
0.255,0.4448146,0.44033188,0.34910527
0.32,0.41932824,0.3904047,0.30615652
0.136,0.3804253,0.32492462,0.255016
0.108,0.32318112,0.24424995,0.18914828
0.096,0.23544411,0.15444486,0.10974566
0.038,0.14388585,0.09789616,0.057007536
0.034,0.10346305,0.078580655,0.043338828
0.025,0.046611536,0.033904977,0.023820024
4.51,5.9068165,7.0877013,6.680115
1.75,1.1008368,1.9353871,1.8232405
0.862,0.5729739,0.89564204,0.7012056
0.443,0.50676763,0.68566406,0.5384387
0.271,0.41607982,0.45745364,0.37505487
0.112,0.2803453,0.21504654,0.18225878
0.447,0.72293985,0.60233927,0.5258187
0.596,0.77190685,0.67668164,0.5976516
0.744,0.7923747,0.71749467,0.6316119
0.639,0.82253903,0.7686519,0.66776437
0.763,0.868167,0.8338519,0.7151527
0.785,0.9425741,0.91392905,0.77581584
0.356,0.4971449,0.5206527,0.4266591
0.275,0.44497216,0.44056663,0.3493299
0.252,0.41942975,0.39052612,0.30625787
0.165,0.38033238,0.32473215,0.25486797
0.122,0.3231436,0.24417448,0.18908644
0.085,0.23475581,0.15388344,0.109221675
0.041,0.14375207,0.097833276,0.056952074
0.028,0.10346931,0.07858544,0.043340627
0.015,0.04676016,0.034047343,0.023886243
7.58,10.022487,9.028482,9.12967
2.43,3.185531,3.5332062,2.5629106
0.925,1.0156653,1.2363575,0.7648163
0.491,0.599195,0.7493275,0.5397132
0.3,0.30844426,0.44063857,0.36257502
0.198,0.11159851,0.17578827,0.17139138
0.565,0.56912327,0.53403544,0.6108337
0.691,0.6964921,0.65935,0.7165459
0.845,0.7675378,0.73968935,0.7635234
0.874,0.8330768,0.8113626,0.80538666
0.827,0.89559823,0.88583267,0.85562587
0.844,0.95321774,0.96479654,0.91966164
0.377,0.4859436,0.5942998,0.46897763
0.311,0.36177197,0.46909466,0.36408353
0.263,0.28553903,0.37869957,0.3086515
0.207,0.22167405,0.30212367,0.2593661
0.182,0.15554416,0.21364458,0.19417828
0.138,0.10815805,0.1341609,0.12398076
0.086,0.08643095,0.09067548,0.08102061
0.07,0.073965035,0.07086296,0.06737215
0.037,0.03777096,0.025743056,0.03873431
6.84,9.727751,8.813861,8.835104
2.04,3.0990934,3.4531026,2.485123
0.862,1.011034,1.2303936,0.7618125
0.448,0.59722406,0.74734986,0.53868234
0.27,0.30783123,0.43992406,0.36212477
0.204,0.1115588,0.17572244,0.1713332
0.556,0.56925154,0.5340403,0.61089724
0.409,0.6960159,0.6586953,0.7161686
0.631,0.76780015,0.7398481,0.7637015
0.763,0.83183396,0.80985355,0.80452484
0.775,0.89592093,0.88608605,0.8558796
0.778,0.95359784,0.9651385,0.9199868
0.429,0.49041846,0.598463,0.4729621
0.32,0.36398512,0.4715856,0.36581114
0.273,0.28821826,0.3819177,0.31056777
0.227,0.22074069,0.30097577,0.25858253
0.168,0.15627787,0.21472867,0.19504464
0.121,0.10827961,0.13439749,0.12421624
0.087,0.086431906,0.09067417,0.08102057
0.061,0.07467623,0.07190342,0.06798588
0.052,0.0366412,0.024592416,0.03779555
5.1,10.83493,8.787014,9.374212
2.09,3.6017833,3.4766998,2.5875802
0.972,0.9512545,1.2438545,0.73844045
