Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
6.89,6.5098534,4.406143,5.7033463
6.65,6.4270396,4.399144,5.706388
6.63,6.322015,4.3683033,5.6761923
7.28,6.3252325,4.4109397,5.7538934
7.17,6.3251386,4.42707,5.78574
0.659,0.69533896,0.58294517,0.75103617
0.645,1.0359497,0.8526729,1.0885366
6.43,7.445893,6.4185762,8.55596
8.54,7.481458,6.4270067,8.519276
9.92,7.7359295,6.454622,8.293294
11.3,8.100452,6.593514,8.377822
11.0,8.11012,6.586336,8.375277
10.9,8.191635,6.6356635,8.439986
12.2,8.194661,6.6088037,8.411712
13.0,8.331528,6.7054057,8.557698
10.9,8.256234,6.625693,8.464567
10.7,8.232352,6.6158113,8.490639
10.45,8.278912,6.6464186,8.527915
0.126,0.3725996,0.26677695,0.34798932
8.1,8.982324,6.7905903,9.188492
8.4,9.138894,6.7505355,8.9521
8.45,9.101013,6.637567,8.750288
7.1,9.216658,6.599429,8.683975
8.26,9.244063,6.5907326,8.660089
6.97,9.362921,6.556218,8.621345
9.5,9.366993,6.5252666,8.596833
9.41,9.278176,6.449231,8.516459
10.4,9.24484,6.41863,8.475781
10.4,9.343041,6.5037823,8.581269
0.17,5.863707,4.1133423,6.146609
3.7,6.3639283,4.3790565,6.199762
3.77,6.275358,4.343265,6.0665436
4.08,6.271711,4.358761,6.05319
4.03,6.1834617,4.3353705,5.9599404
3.62,6.0507817,4.293707,5.8753014
4.36,6.0231776,4.3261814,5.9479237
4.93,6.049388,4.354192,5.999104
3.72,5.955338,4.2979093,5.922969
4.38,5.941401,4.3063107,5.9588046
5.47,5.996389,4.3681207,6.0764976
5.22,5.884448,4.303251,5.9942126
4.78,5.034877,3.7195528,5.107654
0.633,0.8187515,0.5790171,0.8038422
2.36,2.8572588,2.0367124,3.0647862
2.59,3.0819442,2.1808887,3.0283701
2.59,3.043908,2.158459,2.9826021
2.54,3.037294,2.1634774,2.9805958
2.29,3.0645869,2.190386,3.0149882
2.1,2.9563048,2.1261945,2.9254172
2.31,2.9742281,2.1436965,2.9565277
2.51,2.9977434,2.166186,2.9963055
2.25,3.019058,2.1867106,3.0327094
2.53,3.0384276,2.2055197,3.0659964
2.81,3.0562036,2.2229033,3.0965047
0.581,0.8073942,0.56787854,0.69880456
0.162,0.79159904,0.5729207,0.7003684
3.33,3.1110308,2.3454263,2.870285
3.71,3.1105297,2.3152907,2.8252432
3.82,3.1815722,2.3330703,2.846449
3.9,3.1576138,2.284631,2.7869248
4.14,3.2100985,2.3034344,2.8132503
3.51,3.1782165,2.2740982,2.7777736
4.33,3.1352878,2.2183495,2.7151582
3.94,3.1978846,2.2538195,2.764955
3.53,3.2136157,2.2636514,2.7781847
3.82,3.2488813,2.2864146,2.808069
6.8,3.1473331,2.1674547,2.6704128
0.918,1.1877071,0.7732916,1.1011064
0.951,1.2520941,0.84098816,1.1953404
4.65,0.7213062,0.5227854,0.7241315
4.73,1.6449777,1.1507617,1.6891515
4.89,6.6534257,4.2497964,6.1070223
4.37,6.5740423,4.2680597,6.086196
4.59,6.2293067,4.1335316,5.8658895
5.97,6.31931,4.2026863,5.9576283
6.29,6.297727,4.213583,5.971302
7.13,6.190465,4.1878304,5.9356976
7.13,6.139711,4.1808763,5.935283
7.1,6.126217,4.2064633,5.9992366
7.83,6.138016,4.2182846,6.017134
7.75,5.9199743,4.116683,5.8667107
7.12,5.9827576,4.151594,5.9192
7.32,6.003748,4.171362,5.943742
7.75,6.0780573,4.240597,6.0203805
1.4,1.2891669,0.8734584,1.0438361
3.01,3.5640886,2.4065018,2.8746536
3.09,3.394369,2.311085,2.7678375
3.32,3.4970531,2.399661,2.8842652
3.39,3.2696304,2.2571802,2.7178967
3.14,3.2714665,2.2768376,2.7513022
3.05,3.280181,2.2875137,2.7655358
3.18,3.2920604,2.3013387,2.783159
3.11,3.3040907,2.3147295,2.7994316
